Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
granite4,Insurance Risk Assessment,DRL,false,0,1522,"ERROR: [ERR 102] Line 11:4 mismatched input 'query' in rule ""Assess Insurance Risk - High""
ERROR: [ERR 102] Line 11:9 mismatched input ':' in query
ERROR: [ERR 102] Line 19:4 mismatched input 'query' in rule ""Assess Insurance Risk - Medium""
ERROR: [ERR 102] Line 19:9 mismatched input ':' in query
ERROR: [ERR 102] Line 27:4 mismatched input 'query' in rule ""Assess Insurance Risk - Low""
ERROR: [ERR 102] Line 27:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Inventory Alert,DRL,false,0,581,"ERROR: [ERR 102] Line 4:12 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Loan Approval Complex,DRL,false,0,1701,"ERROR: [ERR 102] Line 15:20 mismatched input '=' in rule ""Loan Approved""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Loan Eligibility,DRL,true,1,738,
granite4,Loyalty Points,DRL,false,0,593,"ERROR: [ERR 102] Line 4:13 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Missing Document Alert,DRL,false,0,1278,"ERROR: [ERR 102] Line 14:4 mismatched input 'query' in rule ""Incomplete Application""
ERROR: [ERR 102] Line 14:9 mismatched input ':' in query
ERROR: [ERR 102] Line 27:4 mismatched input 'query' in rule ""Incomplete Application""
ERROR: [ERR 102] Line 27:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Discount by Customer Type,DRL,false,0,1378,"ERROR: [ERR 102] Line 3:14 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Fraud Detection,DRL,false,0,1942,"ERROR: [ERR 102] Line 15:4 mismatched input 'query' in rule ""Order Suspicious - Recent Account""
ERROR: [ERR 102] Line 15:9 mismatched input ':' in query
ERROR: [ERR 102] Line 26:4 mismatched input 'query' in rule ""Order Suspicious - Shipping Billing Mismatch""
ERROR: [ERR 102] Line 26:9 mismatched input ':' in query
ERROR: [ERR 102] Line 37:4 mismatched input 'query' in rule ""Order Suspicious - Multiple Failed Payments""
ERROR: [ERR 102] Line 37:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Password Strength,DRL,false,0,1300,"ERROR: [ERR 102] Line 10:4 mismatched input 'query' in rule ""Password Strength Weak""
ERROR: [ERR 102] Line 10:9 mismatched input ':' in query
ERROR: [ERR 102] Line 18:4 mismatched input 'query' in rule ""Password Strength Medium""
ERROR: [ERR 102] Line 18:9 mismatched input ':' in query
ERROR: [ERR 102] Line 26:4 mismatched input 'query' in rule ""Password Strength Strong""
ERROR: [ERR 102] Line 26:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Priority Assignment,DRL,false,0,1197,"Test case 'High Severity' failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=16, column=0
   text=Duplicate rule name: Set Priority based on Severity], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=23, column=0
   text=Duplicate rule name: Set Priority based on Severity], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=30, column=0
   text=Duplicate rule name: Set Priority based on Severity]]"
granite4,Senior Citizen Discount,DRL,true,2,724,
granite4,Shipping Cost,DRL,true,1,1066,
